movie_title,title_year,duration,color,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,imdb_score,aspect_ratio,g1,g2,g3,g4,g5,g6,g7,g8,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26
Batman v Superman: Dawn of Justice ,2016,183,Color,673,0,15000,4000,2000,330249062,371639,24450,0,3018,English,USA,PG-13,250000000,6.9,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Superman Returns ,2006,169,Color,434,0,18000,10000,903,200069408,240396,29991,0,2367,English,USA,PG-13,209000000,6.1,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quantum of Solace ,2008,106,Color,403,395,451,412,393,168368427,330784,2023,1,1243,English,UK,PG-13,200000000,6.7,2.35,Action,Adventure,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest ,2006,151,Color,313,563,40000,5000,1000,423032628,522040,48486,2,1832,English,USA,PG-13,225000000,7.3,2.35,Action,Adventure,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lone Ranger ,2013,150,Color,450,563,40000,2000,1000,89289910,181792,45757,1,711,English,USA,PG-13,215000000,6.5,2.35,Action,Adventure,Western,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Man of Steel ,2013,143,Color,733,0,15000,3000,748,291021565,548573,20495,0,2536,English,USA,PG-13,225000000,7.2,2.35,Action,Adventure,Fantasy,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian ,2008,150,Color,258,80,22000,216,201,141614023,149922,22697,4,438,English,USA,PG,225000000,6.6,2.35,Action,Adventure,Family,Fantasy,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Avengers ,2012,173,Color,703,0,26000,21000,19000,623279547,995415,87697,3,1722,English,USA,PG-13,220000000,8.1,1.85,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides ,2011,136,Color,448,252,40000,11000,1000,241063875,370704,54083,4,484,English,USA,PG-13,250000000,6.7,2.35,Action,Adventure,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Men in Black 3 ,2012,106,Color,451,188,10000,816,718,179020854,268154,12572,1,341,English,USA,PG-13,225000000,6.8,1.85,Action,Adventure,Comedy,Family,Fantasy,Sci-Fi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Battle of the Five Armies ,2014,164,Color,422,0,5000,972,773,255108370,354228,9152,0,802,English,New Zealand,PG-13,250000000,7.5,2.35,Adventure,Fantasy,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man ,2012,153,Color,599,464,15000,10000,963,262030663,451803,28489,0,1225,English,USA,PG-13,230000000,7,2.35,Action,Adventure,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robin Hood ,2010,156,Color,343,0,891,882,738,105219735,211765,3244,0,546,English,USA,PG-13,200000000,6.7,2.35,Action,Adventure,Drama,History,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Hobbit: The Desolation of Smaug ,2013,186,Color,509,0,5000,972,773,258355354,483540,9152,6,951,English,USA,PG-13,225000000,7.9,2.35,Adventure,Fantasy,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Golden Compass ,2007,113,Color,251,129,16000,6000,1000,70083519,149019,24106,2,666,English,USA,PG-13,180000000,6.1,2.35,Adventure,Family,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King Kong ,2005,201,Color,446,0,6000,919,84,218051260,316018,7123,0,2618,English,New Zealand,PG-13,207000000,7.2,2.35,Action,Adventure,Drama,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titanic ,1997,194,Color,315,0,29000,14000,794,658672302,793059,45223,0,2528,English,USA,PG-13,200000000,7.7,2.35,Drama,Romance,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain America: Civil War ,2016,147,Color,516,94,21000,19000,11000,407197282,272670,64798,0,1022,English,USA,PG-13,250000000,8.2,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battleship ,2012,131,Color,377,532,14000,10000,627,65173160,202382,26679,0,751,English,USA,PG-13,209000000,5.9,2.35,Action,Adventure,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jurassic World ,2015,124,Color,644,365,3000,2000,1000,652177271,418214,8458,0,1290,English,USA,PG-13,150000000,7,2,Action,Adventure,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyfall ,2012,143,Color,750,0,883,563,393,304360277,522030,2039,0,1498,English,UK,PG-13,200000000,7.8,2.35,Action,Adventure,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 2 ,2004,135,Color,300,0,24000,11000,4000,373377893,411164,43388,1,1303,English,USA,PG-13,200000000,7.3,2.35,Action,Adventure,Fantasy,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 3 ,2013,195,Color,608,1000,21000,4000,3000,408992272,557489,30426,3,1187,English,USA,PG-13,200000000,7.2,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice in Wonderland ,2010,108,Color,451,13000,40000,25000,11000,334185206,306320,79957,0,736,English,USA,PG,200000000,6.5,1.85,Adventure,Family,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: The Last Stand ,2006,104,Color,334,420,20000,808,560,234360014,383427,21714,0,1912,English,Canada,PG-13,210000000,6.8,2.35,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monsters University ,2013,104,Color,376,37,12000,779,760,268488329,235025,14863,0,265,English,USA,G,200000000,7.3,1.85,Adventure,Animation,Comedy,Family,Fantasy,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Revenge of the Fallen ,2009,150,Color,366,0,894,581,464,402076689,323207,3218,0,1439,English,USA,PG-13,200000000,6,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Age of Extinction ,2014,165,Color,378,0,974,956,808,245428137,242420,3988,2,918,English,USA,PG-13,210000000,5.7,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oz the Great and Powerful ,2013,130,Color,525,0,44000,15000,11000,234903076,175409,73441,4,511,English,USA,PG,215000000,6.4,2.35,Adventure,Family,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Amazing Spider-Man 2 ,2014,142,Color,495,464,15000,10000,825,202853933,321227,28631,0,1067,English,USA,PG-13,200000000,6.7,2.35,Action,Adventure,Fantasy,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRON: Legacy ,2010,125,Color,469,364,12000,10000,1000,172051787,264183,25550,0,665,English,USA,PG,170000000,6.8,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cars 2 ,2011,106,Color,304,487,1000,919,776,191450875,101178,4482,0,283,English,USA,G,200000000,6.3,2.35,Adventure,Animation,Comedy,Family,Sport,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Lantern ,2011,123,Color,436,258,16000,368,326,116593191,223393,17657,2,550,English,USA,PG-13,200000000,5.6,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toy Story 3 ,2010,103,Color,453,125,15000,1000,721,414984497,544884,19085,3,733,English,USA,G,200000000,8.3,1.85,Adventure,Animation,Comedy,Family,Fantasy,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator Salvation ,2009,118,Color,422,368,23000,3000,988,125320003,286095,27468,0,974,English,USA,PG-13,200000000,6.6,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furious 7 ,2015,140,Color,424,0,26000,23000,14000,350034110,278232,79150,0,657,English,USA,PG-13,190000000,7.2,2.35,Action,Crime,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World War Z ,2013,123,Color,654,395,17000,11000,1000,202351611,465019,32392,0,995,English,USA,PG-13,190000000,7,2.35,Action,Adventure,Horror,Sci-Fi,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: Days of Future Past ,2014,149,Color,539,0,34000,22000,20000,233914986,514125,91434,7,752,English,USA,PG-13,200000000,8,2.35,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek Into Darkness ,2013,132,Color,590,14000,19000,981,928,228756232,395573,21411,0,1171,English,USA,PG-13,190000000,7.8,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack the Giant Slayer ,2013,114,Color,338,0,979,557,140,65171860,106416,1766,1,205,English,USA,PG-13,195000000,6.3,2.35,Adventure,Fantasy,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Great Gatsby ,2013,143,Color,490,1000,29000,509,77,144812796,362912,29770,4,753,English,Australia,PG-13,105000000,7.3,2.35,Drama,Romance,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince of Persia: The Sands of Time ,2010,116,Color,306,179,15000,567,236,90755643,222403,16149,2,453,English,USA,PG-13,200000000,6.6,2.35,Action,Adventure,Fantasy,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacific Rim ,2013,131,Color,575,0,16000,968,919,101785482,381148,19166,0,1106,English,USA,PG-13,190000000,7,1.85,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transformers: Dark of the Moon ,2011,154,Color,428,0,894,829,581,352358779,326180,2593,2,899,English,USA,PG-13,195000000,6.3,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana Jones and the Kingdom of the Crystal Skull ,2008,122,Color,470,14000,11000,1000,1000,317011114,333847,14959,2,2054,English,USA,PG-13,185000000,6.2,2.35,Action,Adventure,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Good Dinosaur ,2015,93,Color,298,113,275,150,113,123070338,62836,696,0,345,English,USA,PG,,6.8,2.35,Adventure,Animation,Comedy,Family,Fantasy,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brave ,2012,93,Color,488,56,2000,1000,838,237282182,273556,5005,0,428,English,USA,PG,185000000,7.2,2.35,Adventure,Animation,Comedy,Family,Fantasy,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek Beyond ,2016,122,Color,322,681,998,119,105,130468626,53607,1327,4,432,English,USA,PG-13,185000000,7.5,2.35,Action,Adventure,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALL·E ,2008,98,Color,421,475,1000,729,522,223806889,718837,2975,0,1043,English,USA,G,180000000,8.4,2.35,Adventure,Animation,Family,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush Hour 3 ,2007,91,Color,162,420,268,268,173,140080850,121084,1125,2,221,English,USA,PG-13,140000000,6.2,2.35,Action,Comedy,Crime,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012 ,2009,158,Color,367,776,1000,468,310,166112167,283418,2144,0,1055,English,USA,PG-13,200000000,5.8,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Christmas Carol ,2009,96,Color,240,0,18000,14000,10000,137850096,72809,48878,0,249,English,USA,PG,200000000,6.8,2.35,Animation,Drama,Family,Fantasy,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jupiter Ascending ,2015,127,Color,384,0,17000,15000,13000,47375327,139593,47334,1,720,English,USA,PG-13,176000000,5.4,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Legend of Tarzan ,2016,110,Color,248,282,11000,10000,103,124051759,42372,21175,2,239,English,USA,PG-13,180000000,6.6,2.35,Action,Adventure,Drama,Romance,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,150,Color,284,80,1000,190,82,291709845,286506,1317,5,1463,English,USA,PG,180000000,6.9,2.35,Adventure,Family,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X-Men: Apocalypse ,2016,144,Color,396,0,34000,13000,1000,154985087,148379,49684,6,622,English,USA,PG-13,178000000,7.3,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight ,2008,152,Color,645,22000,23000,13000,11000,533316061,1676169,57802,0,4667,English,USA,PG-13,185000000,9,2.35,Action,Crime,Drama,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Up ,2009,96,Color,408,0,1000,848,262,292979556,665575,2635,1,704,English,USA,PG,175000000,8.3,1.85,Adventure,Animation,Comedy,Family,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monsters vs. Aliens ,2009,94,Color,219,11,1000,973,459,198332128,114553,2579,2,187,English,USA,PG,175000000,6.5,2.35,Action,Adventure,Animation,Comedy,Family,Sci-Fi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man ,2008,126,Color,486,4000,21000,12000,4000,318298180,696338,39252,3,1055,English,USA,PG-13,140000000,7.9,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo ,2011,126,Color,682,17000,17000,16000,1000,73820094,245333,36017,0,678,English,USA,PG,170000000,7.5,1.85,Adventure,Drama,Family,Mystery,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wild Wild West ,1999,106,Color,85,188,10000,4000,582,113745408,129601,15870,2,648,English,USA,PG-13,170000000,4.8,1.85,Action,Comedy,Sci-Fi,Western,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mummy: Tomb of the Dragon Emperor ,2008,112,Color,264,357,5000,3000,595,102176165,117927,9131,2,501,English,USA,PG-13,145000000,5.2,2.35,Action,Adventure,Fantasy,Horror,Thriller,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suicide Squad ,2016,123,Color,418,452,10000,336,329,161087183,118992,11287,8,971,English,USA,PG-13,175000000,6.9,2.35,Action,Adventure,Comedy,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evan Almighty ,2007,96,Color,186,293,87000,11000,7000,100289690,115099,108016,0,257,English,USA,PG,175000000,5.4,2.35,Comedy,Family,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edge of Tomorrow ,2014,113,Color,585,218,10000,854,509,100189501,431620,12652,1,741,English,USA,PG-13,178000000,7.9,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterworld ,1995,176,Color,91,58,711,60,60,88246220,144337,1004,0,309,English,USA,PG-13,175000000,6.1,1.85,Action,Adventure,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G.I. Joe: The Rise of Cobra ,2009,118,Color,250,208,23000,2000,570,150167630,174578,26683,4,534,English,USA,PG-13,175000000,5.8,2.35,Action,Adventure,Sci-Fi,Thriller,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inside Out ,2015,95,Color,536,0,1000,767,384,356454367,345198,2944,1,773,English,USA,PG,175000000,8.3,1.85,Adventure,Animation,Comedy,Drama,Family,Fantasy,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Jungle Book ,2016,106,Color,370,4000,19000,13000,591,362645141,106072,32921,0,398,English,UK,PG,175000000,7.8,1.85,Adventure,Drama,Family,Fantasy,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Man 2 ,2010,124,Color,453,4000,21000,19000,4000,312057433,522371,48638,4,723,English,USA,PG-13,200000000,7,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Snow White and the Huntsman ,2012,132,Color,416,274,26000,17000,11000,155111815,228554,72881,0,710,English,USA,PG-13,170000000,6.1,2.35,Action,Adventure,Drama,Fantasy,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maleficent ,2014,97,Color,401,171,11000,2000,846,241407328,252257,15516,2,634,English,USA,PG,180000000,7,2.35,Action,Adventure,Family,Fantasy,Romance,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawn of the Planet of the Apes ,2014,130,Color,521,198,10000,2000,884,208543795,317542,14363,0,620,English,USA,PG-13,170000000,7.6,1.85,Action,Adventure,Drama,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Lovers ,2015,109,Color,10,596,622,525,283,,2138,1982,3,15,English,Belgium,R,,4.5,,Action,Adventure,Romance,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47 Ronin ,2013,128,Color,218,47,18000,1000,982,38297305,116994,20965,2,324,English,USA,PG-13,175000000,6.3,2.35,Action,Adventure,Drama,Fantasy,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Captain America: The Winter Soldier ,2014,136,Color,576,94,19000,11000,2000,259746958,496749,36188,1,742,English,USA,PG-13,170000000,7.8,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shrek Forever After ,2010,93,Color,226,31,4000,225,213,238371987,138661,4628,2,173,English,USA,PG,165000000,6.4,2.35,Adventure,Animation,Comedy,Family,Fantasy,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomorrowland ,2015,130,Color,443,663,2000,638,604,93417865,128306,5046,2,497,English,USA,PG,190000000,6.5,2.2,Action,Adventure,Family,Mystery,Sci-Fi,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Hero 6 ,2014,102,Color,384,38,756,719,562,222487711,279093,2963,0,433,English,USA,PG,165000000,7.9,2.39,Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wreck-It Ralph ,2012,101,Color,377,66,975,931,833,189412677,272534,4451,1,345,English,USA,PG,165000000,7.8,2.35,Adventure,Animation,Comedy,Family,Sci-Fi,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Polar Express ,2004,100,Color,188,0,15000,726,267,665426,120798,16264,0,444,English,USA,G,165000000,6.6,2.35,Adventure,Animation,Family,Fantasy,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Independence Day: Resurgence ,2016,120,Color,286,776,890,812,535,102315545,58137,3233,0,520,English,USA,PG-13,165000000,5.5,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Train Your Dragon ,2010,98,Color,288,255,18000,953,759,217387997,485430,20453,0,492,English,USA,PG,165000000,8.2,2.35,Adventure,Animation,Family,Fantasy,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terminator 3: Rise of the Machines ,2003,109,Color,280,84,648,284,191,150350192,305340,1769,0,1676,English,USA,R,200000000,6.4,2.35,Action,Sci-Fi,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guardians of the Galaxy ,2014,121,Color,653,571,14000,14000,3000,333130696,682155,32438,3,1097,English,USA,PG-13,170000000,8.1,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
